id,company,type,plot,stage,industrial,locality,city,state,country
1,"Ananda Metal  corpn,",battery,C-81,3rd Stage,Peenya Industrial Estate,,Bangalore,Karnataka,India
2,"Anitha Industries (P) Ltd, ",battery,3,2nd Stage,Industrial Estate,Antharasanahalli,Tumkur,Karnataka,India
3,B.T. Solders (P) Ltd.,battery,89,,Belagola  Industrial Area,,Mysore,Karnataka,India
4,Balaji Smelters &Alloys ,battery,138/P9,,,"Hulimangala, Hoskote Village,  Lakkur Hobli,Malur Taluk",Kolar,Karnataka,India
5,"Chloride Alloys  India Ltd,",battery,60/1 & 2,,Malur Indl.  Area,"Seethanayakanahalli, Malur Taluk",Kolar,Karnataka,India
6,Eshwari Metal  Industries,battery,101-A,,Baikampady Indl. Area,Baikampady,Mangalore,Karnataka,India
7,Evershine Smelting Alloy(P) Ltd,battery,15-C,Zone-2,Attibele Industrial Area,Anekal Taluk,Bangalore,Karnataka,India
8,GN Industries,battery,490-D,IV Phase,,Peenya Industrial Area,Bangalore,Karnataka,India
9,Jayvel Enterprises,battery,26A,,KIADB Indl. Area,Malur,Kolar,Karnataka,India
10,Maharanjani Metal  Mart,battery,,,KIADB Indl. Area,Malur,Kolar,Karnataka,India
