name,longitude,latitude,altitude,geometry,phoneFormatted,phone,address,city,country,crossStreet,postalCode,state,cc
SweetGreen,38.909671288923,-77.034084142948,,Point,(202) 234-7336,2022347336,1471 P St NW,Washington DC,United States,at 15th St NW,20005,D.C.,
SweetGreen,38.900772,-77.049766,,Point,(202) 507-8357,2025078357,2221 I St NW,Washington DC,United States,at 22nd St NW,20037,D.C.,
SweetGreen,38.910525,-77.043929,,Point,(202) 387-9338,2023879338,1512 Connecticut Ave NW,Washington DC,United States,at Dupont Circle,20036,D.C.,
SweetGreen,38.90516896,-77.0672,,Point,(202) 337-9338,2023379338,3333 M St NW,Washington DC,United States,at 34th St NW,20007,D.C.,
SweetGreen,38.887041080933,-77.002583742142,,Point,(202) 547-9338,2025479338,221 Pennsylvania Ave SE,Washington DC,United States,btwn 2nd & 3rd Sts. SE,20003,D.C.,
SweetGreen,38.99225245786,-76.933492720127,,Point,,,8204 Baltimore Ave,College Park,United States,,20740,MD,
SweetGreen,38.980979,-77.097083330154,,Point,(301) 654-7336,3016547336,4831 Bethesda Ave,Bethesda,United States,,20814,MD,US
SweetGreen,38.958058116661,-77.359425054188,,Point,(571) 203-0082,5712030082,11935 Democracy Dr,Reston,United States,btw Explorer & Library,20190,VA,
SweetGreen,38.880100922392,-77.10853099823,,Point,(703) 522-2016,7035222016,4075 Wilson Blvd,Arlington,United States,at N Randolph St.,22203,VA,
SweetGreen,40.008008,-75.28784,,Point,(610) 642-9400,6106429400,68 Coulter Ave,Ardmore,United States,,19003,PA,
SweetGreen,39.954030175164,-75.20121216774,,Point,(215) 386-1365,2153861365,3925 Walnut St,Philadelphia,United States,,19104,PA,
SweetGreen,38.903883387232,-77.043959498405,,Point,(202) 331-3355,2023313355,1901 L St. NW,Washington DC,United States,at 19th St,20036,D.C.,
